Lieu;Departement;N_plateforme;precocite;id_var;id_parcelle;REP;MS_etuve;MS_NIRS
OISEMONT;80;2;S2;79;14;1;35.27;32.3
OISEMONT;80;2;S2;79;14;2;37.63;32.37
OISEMONT;80;2;S2;15;17;1;35.25;31.31
OISEMONT;80;2;S2;15;17;2;34.31;28.25
OISEMONT;80;1;S1;87;224;1;33.82;28.31
OISEMONT;80;1;S1;87;224;2;41.97;39.71
OISEMONT;80;1;S1;17;225;1;34.41;32.07
OISEMONT;80;1;S1;17;225;2;38.58;31.15
OISEMONT;80;3;;88;101;1;36.92;29.74
OISEMONT;80;3;;88;101;2;37.98;29.42
OISEMONT;80;3;;89;102;1;39.49;37.14
OISEMONT;80;3;;89;102;2;38.63;34.06
OISEMONT;80;3;;90;103;1;30.58;27.49
OISEMONT;80;3;;90;103;2;39.45;36.65
OISEMONT;80;3;;91;104;1;37.83;37.37
OISEMONT;80;3;;91;104;2;35.69;28.11
OISEMONT;80;3;;92;105;1;39.96;33.39
OISEMONT;80;3;;92;105;2;39.33;31.01
OISEMONT;80;3;;93;106;1;37.79;32.29
OISEMONT;80;3;;93;106;2;32.79;27.62
OISEMONT;80;3;;94;107;1;36.5;28.61
OISEMONT;80;3;;94;107;2;43.74;37.18
OISEMONT;80;3;;95;108;1;42.52;35.39
OISEMONT;80;3;;95;108;2;36.95;34.05
OISEMONT;80;3;;96;109;1;30.95;26.53
OISEMONT;80;3;;96;109;2;33.31;28.43
OISEMONT;80;3;;97;110;1;50.04;37.56
OISEMONT;80;3;;97;110;2;35.24;29.06
OISEMONT;80;3;;98;111;1;34.01;34.61
OISEMONT;80;3;;98;111;2;34.78;30.34
OISEMONT;80;3;;99;112;1;33.61;27.23
OISEMONT;80;3;;99;112;2;39.2;34.17
OISEMONT;80;3;;100;113;1;35.52;28.24
OISEMONT;80;3;;100;113;2;36.47;31.15
OISEMONT;80;3;;101;114;1;36.91;27.89
OISEMONT;80;3;;101;114;2;37.09;32.56
OISEMONT;80;3;;102;115;1;40.16;32.9
OISEMONT;80;3;;102;115;2;38.44;34.42
OISEMONT;80;3;;103;116;1;40.81;34.92
OISEMONT;80;3;;103;116;2;38.29;29.65
OISEMONT;80;3;;104;117;1;36.03;37.17
OISEMONT;80;3;;104;117;2;40.26;34.84
OISEMONT;80;3;;105;118;1;39.51;35.6
OISEMONT;80;3;;105;118;2;36.04;28.81
OISEMONT;80;3;;106;119;1;37.5;32.4
OISEMONT;80;3;;106;119;2;37.82;33.7
OISEMONT;80;3;;107;120;1;31.15;30.35
OISEMONT;80;3;;107;120;2;42.36;40.98
OISEMONT;80;3;;108;121;1;40.83;34.27
OISEMONT;80;3;;108;121;2;38.99;32.96
OISEMONT;80;3;;109;122;1;37.12;32.33
OISEMONT;80;3;;109;122;2;44.33;41.03
OISEMONT;80;3;;110;123;1;40.72;32.2
OISEMONT;80;3;;110;123;2;35.19;37.73
OISEMONT;80;3;;111;124;1;46.18;43.39
OISEMONT;80;3;;111;124;2;35.39;29.99
OISEMONT;80;3;;112;125;1;38.18;28.31
